threshold,TP,TN,FP,FN,Recall,Precision,F1
0.0,19,0,181,0,1.0,0.095,0.17351598173515984
0.01,18,111,70,1,0.9473684210526315,0.20454545454545456,0.33644859813084116
0.02,18,120,61,1,0.9473684210526315,0.22784810126582278,0.3673469387755102
0.03,18,132,49,1,0.9473684210526315,0.26865671641791045,0.41860465116279066
0.04,18,138,43,1,0.9473684210526315,0.29508196721311475,0.45
0.05,17,142,39,2,0.8947368421052632,0.30357142857142855,0.4533333333333333
0.06,17,146,35,2,0.8947368421052632,0.3269230769230769,0.4788732394366197
0.07,17,149,32,2,0.8947368421052632,0.3469387755102041,0.5
0.08,17,151,30,2,0.8947368421052632,0.3617021276595745,0.5151515151515151
0.09,17,152,29,2,0.8947368421052632,0.3695652173913043,0.5230769230769231
0.1,17,154,27,2,0.8947368421052632,0.38636363636363635,0.5396825396825397
0.11,17,154,27,2,0.8947368421052632,0.38636363636363635,0.5396825396825397
0.12,17,156,25,2,0.8947368421052632,0.40476190476190477,0.5573770491803278
0.13,17,157,24,2,0.8947368421052632,0.4146341463414634,0.5666666666666667
0.14,17,158,23,2,0.8947368421052632,0.425,0.576271186440678
0.15,17,159,22,2,0.8947368421052632,0.4358974358974359,0.5862068965517242
0.16,17,163,18,2,0.8947368421052632,0.4857142857142857,0.6296296296296297
0.17,16,163,18,3,0.8421052631578947,0.47058823529411764,0.6037735849056604
0.18,16,165,16,3,0.8421052631578947,0.5,0.6274509803921569
0.19,16,165,16,3,0.8421052631578947,0.5,0.6274509803921569
0.2,16,166,15,3,0.8421052631578947,0.5161290322580645,0.6399999999999999
0.21,16,167,14,3,0.8421052631578947,0.5333333333333333,0.653061224489796
0.22,15,168,13,4,0.7894736842105263,0.5357142857142857,0.6382978723404255
0.23,15,168,13,4,0.7894736842105263,0.5357142857142857,0.6382978723404255
0.24,15,169,12,4,0.7894736842105263,0.5555555555555556,0.6521739130434783
0.25,15,169,12,4,0.7894736842105263,0.5555555555555556,0.6521739130434783
0.26,15,169,12,4,0.7894736842105263,0.5555555555555556,0.6521739130434783
0.27,15,169,12,4,0.7894736842105263,0.5555555555555556,0.6521739130434783
0.28,15,169,12,4,0.7894736842105263,0.5555555555555556,0.6521739130434783
0.29,15,169,12,4,0.7894736842105263,0.5555555555555556,0.6521739130434783
0.3,15,170,11,4,0.7894736842105263,0.5769230769230769,0.6666666666666666
0.31,15,170,11,4,0.7894736842105263,0.5769230769230769,0.6666666666666666
0.32,15,170,11,4,0.7894736842105263,0.5769230769230769,0.6666666666666666
0.33,15,171,10,4,0.7894736842105263,0.6,0.6818181818181819
0.34,15,171,10,4,0.7894736842105263,0.6,0.6818181818181819
0.35000000000000003,15,172,9,4,0.7894736842105263,0.625,0.6976744186046512
0.36,15,172,9,4,0.7894736842105263,0.625,0.6976744186046512
0.37,15,172,9,4,0.7894736842105263,0.625,0.6976744186046512
0.38,15,172,9,4,0.7894736842105263,0.625,0.6976744186046512
0.39,15,172,9,4,0.7894736842105263,0.625,0.6976744186046512
0.4,15,172,9,4,0.7894736842105263,0.625,0.6976744186046512
0.41000000000000003,15,172,9,4,0.7894736842105263,0.625,0.6976744186046512
0.42,15,172,9,4,0.7894736842105263,0.625,0.6976744186046512
0.43,15,172,9,4,0.7894736842105263,0.625,0.6976744186046512
0.44,15,173,8,4,0.7894736842105263,0.6521739130434783,0.7142857142857143
0.45,15,173,8,4,0.7894736842105263,0.6521739130434783,0.7142857142857143
0.46,15,173,8,4,0.7894736842105263,0.6521739130434783,0.7142857142857143
