threshold,TP,TN,FP,FN,Recall,Precision,F1
0.27,19,165,8,8,0.7037037037037037,0.7037037037037037,0.7037037037037037
0.28,19,165,8,8,0.7037037037037037,0.7037037037037037,0.7037037037037037
0.29,19,165,8,8,0.7037037037037037,0.7037037037037037,0.7037037037037037
0.3,18,165,8,9,0.6666666666666666,0.6923076923076923,0.6792452830188679
0.31,18,166,7,9,0.6666666666666666,0.72,0.6923076923076923
0.32,18,166,7,9,0.6666666666666666,0.72,0.6923076923076923
0.33,18,167,6,9,0.6666666666666666,0.75,0.7058823529411765
0.34,18,167,6,9,0.6666666666666666,0.75,0.7058823529411765
0.35000000000000003,18,167,6,9,0.6666666666666666,0.75,0.7058823529411765
0.36,18,168,5,9,0.6666666666666666,0.782608695652174,0.72
0.37,18,168,5,9,0.6666666666666666,0.782608695652174,0.72
0.38,18,168,5,9,0.6666666666666666,0.782608695652174,0.72
0.39,18,168,5,9,0.6666666666666666,0.782608695652174,0.72
0.4,18,169,4,9,0.6666666666666666,0.8181818181818182,0.7346938775510203
0.41000000000000003,18,170,3,9,0.6666666666666666,0.8571428571428571,0.75
0.42,18,170,3,9,0.6666666666666666,0.8571428571428571,0.75
0.43,18,171,2,9,0.6666666666666666,0.9,0.7659574468085106
0.44,18,171,2,9,0.6666666666666666,0.9,0.7659574468085106
0.45,18,171,2,9,0.6666666666666666,0.9,0.7659574468085106
0.46,18,171,2,9,0.6666666666666666,0.9,0.7659574468085106
0.47000000000000003,18,171,2,9,0.6666666666666666,0.9,0.7659574468085106
0.48,18,171,2,9,0.6666666666666666,0.9,0.7659574468085106
0.49,18,171,2,9,0.6666666666666666,0.9,0.7659574468085106
0.5,18,171,2,9,0.6666666666666666,0.9,0.7659574468085106
0.51,18,171,2,9,0.6666666666666666,0.9,0.7659574468085106
0.52,18,171,2,9,0.6666666666666666,0.9,0.7659574468085106
0.53,18,171,2,9,0.6666666666666666,0.9,0.7659574468085106
0.54,17,171,2,10,0.6296296296296297,0.8947368421052632,0.7391304347826088
0.55,17,171,2,10,0.6296296296296297,0.8947368421052632,0.7391304347826088
0.56,17,171,2,10,0.6296296296296297,0.8947368421052632,0.7391304347826088
0.5700000000000001,16,171,2,11,0.5925925925925926,0.8888888888888888,0.711111111111111
0.58,16,171,2,11,0.5925925925925926,0.8888888888888888,0.711111111111111
0.59,15,171,2,12,0.5555555555555556,0.8823529411764706,0.6818181818181819
0.6,15,171,2,12,0.5555555555555556,0.8823529411764706,0.6818181818181819
